,seqRT,,,ranRT,,,seqRT,ranRT
key_resp.corr,key_resp.rt,,key_resp.corr,key_resp.rt,,,0.7821579,0.3402891
1,0.7821579,,0,0.3371008,,,0.825921,0.3460651
1,0.825921,,1,0.3402891,,,0.334823,1.078892
1,0.334823,,0,0.7066487,,,0.4256313,0.6316801
1,0.4256313,,1,0.3460651,,,0.6414214,0.6105386
1,0.6414214,,1,1.078892,,,0.3019073,0.8205638
1,0.3019073,,1,0.6316801,,,0.421544,0.7152135
1,0.421544,,1,0.6105386,,,0.3638945,0.5679056
1,0.3638945,,1,0.8205638,,,0.3222183,0.5812379
1,0.3222183,,1,0.7152135,,,0.3426298,0.7180824
1,0.3426298,,1,0.5679056,,,0.3419745,0.5151516
1,0.3419745,,1,0.5812379,,,0.2730195,0.8997893
1,0.2730195,,1,0.7180824,,,0.3397294,0.7920189
1,0.3397294,,1,0.5151516,,,0.397952,0.7857404
1,0.397952,,1,0.8997893,,,0.3386569,0.8022022
1,0.3386569,,1,0.7920189,,,0.3342876,0.7611607
1,0.3342876,,1,0.7857404,,,1.1997243,0.8909974
1,1.1997243,,1,0.8022022,,,1.223614,0.8170054
1,1.223614,,1,0.7611607,,,0.3149586,0.6162419
1,0.3149586,,1,0.8909974,,,0.2928186,0.8099476
1,0.2928186,,1,0.8170054,,,0.5790865,0.7083328
1,0.5790865,,1,0.6162419,,,2.141381,0.7455846
1,2.141381,,1,0.8099476,,,0.4068378,0.7679262
1,0.4068378,,1,0.7083328,,,0.6859862,0.7276904
1,0.6859862,,1,0.7455846,,,1.9737222,1.5440579
1,1.9737222,,1,0.7679262,,,0.758407,0.574307
1,0.758407,,1,0.7276904,,,0.3773036,0.9035627
1,0.3773036,,1,1.5440579,,,0.3802382,1.0982586
1,0.3802382,,1,0.574307,,,0.3790026,1.2758449
1,0.3790026,,1,0.9035627,,,0.3664095,0.9831707
1,0.3664095,,1,1.0982586,,,0.5603972,0.8021415
1,0.5603972,,1,1.2758449,,,0.3216098,0.935773
1,0.3216098,,1,0.9831707,,,0.345326,0.6740568
1,0.345326,,1,0.8021415,,,0.652307,0.9896395
1,0.652307,,1,0.935773,,,0.6797707,0.6975204
1,0.6797707,,1,0.6740568,,,0.4236236,0.597187
1,0.4236236,,1,0.9896395,,,0.2769996,0.9613352
1,0.2769996,,1,0.6975204,,,0.3898606,0.573152
1,0.3898606,,1,0.597187,,,0.393094,0.7307492
0,1.1699856,,1,0.9613352,,,0.3890838,0.7503404
1,0.393094,,1,0.573152,,,0.365892,0.7190197
1,0.3890838,,1,0.7307492,,,0.3207338,0.7264499
1,0.365892,,1,0.7503404,,,0.3434869,0.6958773
1,0.3207338,,1,0.7190197,,,0.4976332,0.7229025
1,0.3434869,,1,0.7264499,,,0.3604828,0.6002496
1,0.4976332,,1,0.6958773,,,0.4292407,0.5153024
1,0.3604828,,1,0.7229025,,,0.3514141,0.5424925
1,0.4292407,,1,0.6002496,,,0.3272456,0.6581905
1,0.3514141,,1,0.5153024,,,0.2082645,0.6915607
1,0.3272456,,1,0.5424925,,,0.4810238,0.6396638
1,0.2082645,,1,0.6581905,,,0.4321867,0.8166779
1,0.4810238,,1,0.6915607,,,0.3626571,0.6555381
1,0.4321867,,1,0.6396638,,,0.3285494,0.8816711
1,0.3626571,,1,0.8166779,,,0.8618723,0.8183153
1,0.3285494,,0,0.8974385,,,0.6699837,0.9961312
1,0.8618723,,1,0.6555381,,,0.7159915,0.9227929
1,0.6699837,,1,0.8816711,,,1.0332231,0.7174003
1,0.7159915,,1,0.8183153,,,0.7556099,0.6634625
1,1.0332231,,1,0.9961312,,,1.250301,0.5119116
1,0.7556099,,1,0.9227929,,,0.2849427,0.832966
1,1.250301,,1,0.7174003,,,0.8669362,0.605849
1,0.2849427,,1,0.6634625,,,0.3007677,0.7270504
1,0.8669362,,1,0.5119116,,,2.0565376,0.5392091
1,0.3007677,,1,0.832966,,,0.7635022,0.6261626
1,2.0565376,,1,0.605849,,,0.8851658,0.8916292
1,0.7635022,,1,0.7270504,,,0.4678623,0.6198646
1,0.8851658,,1,0.5392091,,,0.3467055,0.5933653
1,0.4678623,,1,0.6261626,,,0.4860207,0.9861953
1,0.3467055,,1,0.8916292,,,0.4181673,0.5907109
1,0.4860207,,1,0.6198646,,,0.3744328,0.7347883
1,0.4181673,,1,0.5933653,,,0.2943054,0.7777941
1,0.3744328,,1,0.9861953,,,0.313877,0.6246473
1,0.2943054,,0,0.7223766,,,0.3768681,0.5251396
1,0.313877,,1,0.5907109,,,0.2658334,0.7726686
1,0.3768681,,1,0.7347883,,,0.1278279,0.9413251
1,0.2658334,,1,0.7777941,,,0.4174614,0.7349225
1,0.1278279,,1,0.6246473,,,0.7911751,0.863607
1,0.4174614,,1,0.5251396,,,0.3073884,0.857451
1,0.7911751,,1,0.7726686,,,0.6913665,0.6123354
1,0.3073884,,1,0.9413251,,,0.9776984,0.9572574
1,0.6913665,,1,0.7349225,,,0.5517498,1.1108848
1,0.9776984,,1,0.863607,,,0.1240844,0.7241124
1,0.5517498,,1,0.857451,,,0.3269568,0.6215963
1,0.1240844,,1,0.6123354,,,0.4201827,0.8728387
1,0.3269568,,1,0.9572574,,,0.3643344,0.5817834
1,0.4201827,,1,1.1108848,,,0.5887367,1.0691354
1,0.3643344,,1,0.7241124,,,0.4648114,0.7147672
1,0.5887367,,1,0.6215963,,,0.3091173,0.7996045
1,0.4648114,,1,0.8728387,,,0.0026184,0.6800809
1,0.3091173,,1,0.5817834,,,0.3594255,0.9407409
1,0.0026184,,1,1.0691354,,,0.5991805,0.7994915
1,0.3594255,,1,0.7147672,,,0.3802858,0.6103048
1,0.5991805,,1,0.7996045,,,0.3503781,1.4546106
1,0.3802858,,1,0.6800809,,,0.2850155,0.6831714
1,0.3503781,,1,0.9407409,,,0.1435538,0.6894888
1,0.2850155,,1,0.7994915,,,0.2200932,0.5579499
1,0.1435538,,1,0.6103048,,,0.006584,0.6906707
1,0.2200932,,1,1.4546106,,,0.3434231,0.5522384
1,0.006584,,1,0.6831714,,,0.3235534,0.5628075
1,0.3434231,,1,0.6894888,,,0.32519,0.6242639
1,0.3235534,,1,0.5579499,,,0.3198931,0.8119579
1,0.32519,,1,0.6906707,,,0.0916769,0.7842358
1,0.3198931,,1,0.5522384,,,0.3526812,0.7888488
1,0.0916769,,1,0.5628075,,,0.2892767,0.7133829
1,0.3526812,,1,0.6242639,,,0.4423002,0.9891012
1,0.2892767,,1,0.8119579,,,0.4239893,0.7197179
1,0.4423002,,1,0.7842358,,,0.3051002,1.4608579
1,0.4239893,,1,0.7888488,,,0.3384354,1.0951528
1,0.3051002,,1,0.7133829,,,0.5825123,0.6413291
1,0.3384354,,1,0.9891012,,,0.4469347,1.051314
1,0.5825123,,1,0.7197179,,,0.3303488,0.6005046
1,0.4469347,,1,1.4608579,,,0.2482987,0.5399575
1,0.3303488,,1,1.0951528,,,0.2737397,0.811884
1,0.2482987,,1,0.6413291,,,0.2777443,0.7194573
1,0.2737397,,1,1.051314,,,0.1973631,0.5736523
1,0.2777443,,1,0.6005046,,,0.2757594,0.5863966
1,0.1973631,,1,0.5399575,,,0.4777377,0.6984122
1,0.2757594,,1,0.811884,,,0.4315225,0.6791932
1,0.4777377,,1,0.7194573,,,0.0321958,0.6724135
1,0.4315225,,1,0.5736523,,,0.3341144,0.523425
1,0.0321958,,1,0.5863966,,,0.1733176,0.8176526
1,0.3341144,,1,0.6984122,,,0.0682331,0.6879701
1,0.1733176,,1,0.6791932,,,0.7289739,0.5727931
1,0.0682331,,1,0.6724135,,,0.3255917,0.6991891
1,0.7289739,,1,0.523425,,,0.4645617,0.862337
1,0.3255917,,1,0.8176526,,,0.3261626,0.6721508
1,0.4645617,,1,0.6879701,,,0.1675341,0.5931879
1,0.3261626,,1,0.5727931,,,0.3553251,0.8164159
1,0.1675341,,1,0.6991891,,,0.2716946,0.7916767
1,0.3553251,,1,0.862337,,,0.2742416,0.7087106
1,0.2716946,,1,0.6721508,,,0.2563636,0.6838352
